DisplayName,UserPrincipalName,DefaultPassword,Status,Department,JobTitle
Arjun Yamamoto,ayamamoto@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Terrell Banks,tbanks@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Support Specialist
Phoebe Wood,pwood@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Manager
Tanisha Pruitt,tpruitt@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Xavier Coleman,xcoleman@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Benefits Administrator
Jasmine Dixon,jdixon2@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Alejandra Perez,aperez@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Kelechi Adebayo,kadebayo@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,QA Engineer
Isaiah Dixon,idixon@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Regional Sales Lead
Kenji Li,kli@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Regional Sales Lead
Tunde Adeyemi,tadeyemi@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Support Specialist
Kelechi Nnamdi,knnamdi@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,Recruiter
Ebony Carter,ecarter@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Lauren Wilson,lwilson@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
William Wright,wwright@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
Jasmine Washington,jwashington@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accountant
Uche Anyanwu,uanyanwu@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Imani Mosley,imosley2@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Network Engineer
Tanisha Carter,tcarter@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,IT Administrator
Harry Thompson,hthompson@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
Sana Patel,spatel@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Accounts Payable Specialist
Paulina Gonzalez,pgonzalez@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Nkechi Okafor,nokafor@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Oscar Thompson,othompson@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Engineering Manager
Ebony Freeman,efreeman@danotech.onmicrosoft.com,ChangeMe123!,Active,HR,HR Coordinator
Sofia Sanchez,ssanchez@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,DevOps Engineer
Carlos Ramos,cramos@danotech.onmicrosoft.com,ChangeMe123!,Active,Finance,Payroll Coordinator
Andrew Davis,adavis@danotech.onmicrosoft.com,ChangeMe123!,Active,Engineering,Software Engineer
Carlos Reyes,creyes@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Regional Sales Lead
Michael Anderson,manderson@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Business Development Rep
Sarah Allen,sallen@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Manager
Ifeoma Umeh,iumeh@danotech.onmicrosoft.com,ChangeMe123!,Active,IT,Systems Administrator
Jack Clarke,jclarke@danotech.onmicrosoft.com,ChangeMe123!,Active,Sales,Sales Representative
